ID,AnimFile,AnimName,CodeName,Primary Subject,Shape/Form,Shiann's Motifs,Colours,Space,Verb(ing),Verb 2,Noun,Adjective 2,Adjective,State of being,State of being 2,Interjection,Noun 2,Phrase,Emotion,Affirming Phrase,BG colour,Text colour
45,saturnGlitch copy.mp4,SaturnGlitching,anim38.mp4,Location,geometric,machines,BW,Open,glitching,paused,error,broken,annoying,quarantined,out,Ack!,goop,Turn the planet off and on again.,broken,Love that for you.,#FFFFFF,#000000
46,switchChannels copy.mp4,SwitchingChannels,anim38.mp4,Technology,geometric,machines,BW,Open,changing,looped,remote,indecisive,intuitive,on-phone,on-time,Geez.,button,Don't touch the dial--,dynamic,You're doing a good job.,#000000,#FFFFFF
47,chickTV copy.mp4,ChickenTV,anim38.mp4,Technology,geometric,faceless feautres,BW,Open,clucking,stood,dinner,fried,cute,in-series,weekly,Yeesh.,character,Starving.,fried,This is the best.,#000000,#FFFFFF
48,pan(chick) copy.mp4,PanickedChickenTV,anim38.mp4,Technology,geometric,machines,BW,Open,panicking,flapped,anxiety,paranoid,fascinating,telepathic,patchy,What.,moral panic,A small friend.,flightless,Hug!,#000000,#FFFFFF
49,chickenTVcrying copy.mp4,ChickenTVCrying,anim38.mp4,Technology,geometric,machines,BW + 1,Open,hyperventilating,wept,tissue,deep fried,distressed,televisual,annoyance,Where?,need,"Crap, what do we do?",panicked,Take it easy.,#000000,#FFFFFF
50,limeLemonJuice copy.mp4,LimeAndLemonJuice,anim38.mp4,Food,fluid,slime,Multi,Open,sliding,seasoned,citrus,sour,useful,yummy,boiled,Why?!,fruit,We dropped them.,zesty,Feel good.,#307070,#FFFFFF
51,lemonLemonAbyss copy.mp4,LimeAndLemonInAbyss,anim38.mp4,Food,fluid,slime,2 colours,Open,slipping,absorbed,darkness,juicy,vast,medium,abyss-mutated,How?,scurvy,It's dark out here.,sour,It's a new day.,#000000,#FFFFFF
52,susLime_1 copy.mp4,SuspectingLime,anim38.mp4,Food,closed shape,eyes,2 colours,Packed,interrogating,watched,lime,trustworthy,sleepy,limey,destroyed,When?,vitamin,Trust everyone.,suspicious,Keep pushing.,#000000,#FFFFFF
53,lemonDrool copy.mp4,DroolingLemon,anim38.mp4,Food,fluid,teeth,2 colours,Packed,dribbling,stared,lemon,tangy,dull,filmed,sketchy,Goddamnit.,dressing,Pay attention.,tired,Rejoice!,#000000,#FFFFFF
54,lemonsDripFin copy.mp4,LimeAndLemonJuiceAbyss,anim38.mp4,Food,fluid,slime,2 colours,Open,swerving,repeated,juice,excessive,odd,gorey,upward,Fxck!,drink,Was this a mistake?,slippery,All will come together.,#000000,#FFFFFF
